scientific_name,common_name_fr,common_name_local,taxonomic_group_id,id,iucn_status,national_status,description,notes,created_at,updated_at
Telbe,Nénuphar Nymphaea lotus et Cyperus,,1,1,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
souvent des oiseaux bagués,Canard – Héron garde boeuf – Reukh Ciconia ciconia,,2,2,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
en voie de disparition à cause des nemadis qui chassent ces derniers,Phacochères,,3,3,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Erythrocebus patas,le singe rouge et vervet (Cercopithecus aethiops) en voie de disparition,,3,4,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,python sebae,,3,5,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Canis aureus,,,3,6,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hyaena hyaena,,,3,7,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,fennec Vulpes zerda,,3,8,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Vulpes pa,,,3,9,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Les principales,espèces poissons sont Clarias anguillaris et Lates niloticus,,4,10,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
AN++++,Acacia nilotica,,1,11,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
ZM+++,Ziziphus mauritiana Combretum glutinosum (CG),,1,12,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
SB-,Sclerocarya birrea,,1,13,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
BA++,Balanites Aegyptiaca,,1,14,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
AS,Acacia Senegal,,1,15,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
PR-+,Piliostigma reticulatum,,1,16,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
LP,Leptadenia pyrotechnica,,1,17,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Lawsonia inermis,,,1,18,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,cyperus,,1,19,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Telbe,Nénuphar Nymphaea lotus,,1,20,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tilapia,de petites tailles soit Oreochromis niloticus et Clarias anguillaris.,,4,21,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
HT++++,Hyphaene tebeica,,1,22,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,BALANITES AEGYPTIACA,,1,23,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,ZIZIPHUS MAURITIANA,,1,24,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ipomoea aquatica,,,1,25,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tribulus terrestris,,,1,26,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tephrosia purpurea,,,1,27,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Panicum laetum,,,1,28,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Canard,,2,29,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Hérons en période hivernale,,2,30,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Chacal,,3,31,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Hyénes quelques observation,,3,32,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Phaccochéres disparus depuis 1989,,3,33,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Mellivora capensis,,,3,34,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Erythrocebus patas,le singe rouge et vervet (Cercopithecus aethiops),,3,35,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Porc et,pic,,3,36,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Herisson,,3,37,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Croccodile disparu,,,3,38,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Python.,,3,39,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Type Clarias anguillaris.,,4,40,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,PILIOSTIGMA RETICULATUM,,1,41,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,ACACIA NILOTICA,,1,42,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
MI,Mitragina inermis,,1,43,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
AD,Adansonia digitata,,1,44,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
BR,Bauhinia rufescence,,1,45,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Présence de graminées plus particulièrement le riz sauvage qui s'y trouve en abondance,,1,46,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Cypérus,,1,47,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Nénuphar,,1,48,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Turdoides fulva,,,2,49,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Alopochen aegyptiaca,,,2,50,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Oei-armée de Gambie Plectropterus gambensis,,2,51,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Sylvia cantillans,,,2,52,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Pycnonotus barbatus,,,2,53,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Oenanthe hispanica,,,2,54,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Oenanthe leucopyga,,,2,55,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Vanullus spinosus,,,2,56,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Circaetus gallicus,,,2,57,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Corvus albus,,,2,58,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Egretta intermedia,,,2,59,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Egretta garzetta,,,2,60,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Erythrocebus patas,Le singe rouge et vervet (Cercopithecus aethiops),,3,61,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Paraechinus aethiopicus,,,3,62,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hystrix cristata,,,3,63,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,il y'a principalement le Oreochromis niloticus,,4,64,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Coptodon zillii/Tilapia Zillii,,4,65,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Sarotherodon galilaeus,Clarias gariepinus et le Clarias anguillaris.,,4,66,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia Nilotica,,1,67,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Balanites Aegyptiaca,,1,68,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
ASY++,Acacia Seyal,,1,69,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Mitragyna Inermis+-,,1,70,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Ziziphus Mauritiana,,1,71,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Piliostigma Reticulatum,,1,72,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Bauhinia Rufescence,,1,73,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
GB,Grewia Bicolor,,1,74,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Combretum Glutinosum,,1,75,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Adansonia Digitata,,1,76,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia Senegal,,1,77,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
lalo,Corchorus tridens,,1,78,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Mimosa pigra,,,1,79,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Canis aureus,Chacal peu nombreux,,3,80,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Varan du,Nil Varanus niloticus,,3,81,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Python sebae.,,3,82,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Bagrus bayad,,,4,83,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Capitaine,Lates niloticus,,4,84,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tilapia,Oreochromis niloticus,,4,85,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Douddou,Tetraodon lineatus,,4,86,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Honandou,Synodontis schall Marcusenius sanagaensis (Parou mepel).,,4,87,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia Seyal,,1,88,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Mitragyna Inermis,,1,89,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Ziziphus Mauritiana En Périphérie,,1,90,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Fa+++,Faidherbia Albida A L'ouest,,1,91,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Absence de,plantes aquatiques au niveau de la zone humide de Warle,,1,92,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Canis aureus,Chacal en grand nombre,,3,93,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
chat sauvage,Felis margarita,,3,94,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ratel,Mellivora capensis,,3,95,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ecureuil fouisseur,Euxerus erythropus,,3,96,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Paraechinus aethiopicus,(Hérisson de dés,,3,97,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Les espéces de poissons sont Oreochromis niloticus,,4,98,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Sarotherodon galilaeus,,,4,99,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Clarias gariepinus,,,4,100,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Clarias anguillaris,,,4,101,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Labeo sanagaensis,,,4,102,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Labeobarbus bynni,,,4,103,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hydrocynus vittatus,,,4,104,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,hudrocynus forskalii,,4,105,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Hydrocynus brevis.,,4,106,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Faidherbia Albida,,1,107,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia Seyal+,,1,108,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia Senegal+.,,1,109,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Absence de,plante aquatique,,1,110,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hystrix cristata,Felis margarita,,3,111,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Genetta lenzg,,,3,112,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Euxerus erythropus,,,3,113,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Lepus capensis,,,3,114,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Varanus griseus,,,3,115,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Varanus niloticus,,,3,116,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Cerastes cerastes,,,3,117,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Cerastes Vipera.,,3,118,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ziziphus mauritiana,,,1,119,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Acacia nilotica,,,1,120,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Acacia seyal,,,1,121,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Faidherbia Alida+,,1,122,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Acacia raddiana,+-,,1,123,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Balanites aegyptiaca,,,1,124,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Guiera senegalensis,,,1,125,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Combretum glutinosum.,,1,126,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,qui se trouve dans les petites mares adjacentes à Mêye mais la grande mare n'a pas de Nénuphar à cause de sa profondeur. Il y'a une présence de Cassia tora,,1,127,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ciconia ciconia,Cigognes blanches,,2,128,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ciconia nigra,Cicognes noires,,2,129,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Dencroygne veuf,,,2,130,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Anas querquedula,,,2,131,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Pelecanus rufescens,,,2,132,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Motacilla Flava iberiae,,2,133,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tokus nasutus,,,2,134,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Pa,,2,135,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Lièvre,,3,136,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
mouton sauvage,wilére disparue,,3,137,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
en voie de disparition,Phacochoerus aethiopicus,,3,138,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
en voie de disparition,Python sebea,,3,139,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Crocodulys suchus,crocodile (Crocodulys suchus ) disparue,,3,140,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Melliv,,3,141,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Alestes baremoze,,,4,142,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Alestes dentex,,,4,143,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hydrocynus brevis,,,4,144,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Auchenoglanis biscutatus,,,4,145,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Auchenoglanis occidentalis,,,4,146,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Chrysichtys auratus,,,4,147,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Chrysichtys nigrodigitatus,,,4,148,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Oreochromis niloticus,,,4,149,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia raddiana+-,,1,150,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Faidherbia Albida+ qui sont menacés par les coupes de bois et l'émondage),,1,151,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Bauhinia rufescens+,,1,152,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Piliostigma reticulatum,,,1,153,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Erythrocebus patas,,,3,154,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,chacal,,3,155,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Crocodulys suchus  par moment,crocodile,,3,156,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
