scientific_name,common_name_fr,common_name_local,taxonomic_group_id,id,iucn_status,national_status,description,notes,created_at,updated_at
Hippopotames les,périodes d'eau pleine laga,,3,157,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Felis margarita,,,3,158,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Agama boueti,,,3,159,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Agama boulengeri,,,3,160,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Varanus niloticu,,,3,161,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Acacia sieberiana,,,1,162,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Maytenus senegalensis,,,1,163,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia senegal-,,1,164,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia seyal-,,1,165,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Combretum glutinosum-,,1,166,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Cassia tora.,,1,167,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Cercopithecus aethiops,,,3,168,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Euxerus erythropus.,,3,169,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia raddiana+,,1,170,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Bauhinia rufescens,,,1,171,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Faidherbia Albida+,,1,172,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia sieberiana.,,1,173,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Typha,,1,174,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Ipomea,,1,175,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Melierax metabates,,,2,176,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Phylloscopus bonelli,,,2,177,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Passer luteus,,,2,178,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,passer griseus,,2,179,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Lagonosticta senegala,,,2,180,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Euodice cantans,,,2,181,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Cercotrichas podobe,,,2,182,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,turdoides fulva,,2,183,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Sylvia,,2,184,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hippopotamus amphibius,Selon la population il y'a neuf Hippopotames,,3,185,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Vulpes pallida,,,3,186,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Mellivora capens,,,3,187,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,hemichromis fasciatus,,4,188,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Citharinus citharus,,,4,189,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Citharinus latus,,,4,190,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Lates niloticus,,,4,191,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Synodontis schall,,,4,192,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Synodontis ocellifer,,,4,193,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Synodontis bat,,,4,194,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Balanites,,1,195,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Acacia raddiana,,,1,196,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Prosopis juliflora+,,1,197,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Eucalyptus camaldulensis-,,1,198,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Azadirachta indica-,,1,199,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Phoenix dactylifera-.,,1,200,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Nymphéa,,1,201,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,cassia tora,,1,202,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hippopotamus amphibius,Selon la population il y'a quatre Hippopotames,,3,203,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Mellivora cape,,,3,204,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Acacia senegal,,,1,205,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Faidherbia Albida-,,1,206,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia ehrenbergiana-,,1,207,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Maytenus senegalensis-,,1,208,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Salvadora persica,,,1,209,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Prosopis juliflora+.,,1,210,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,pas de plantes aquatiques,,1,211,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,sauvages : Vanullus spinosus,,2,212,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Burhinus senegalensis,,,2,213,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Phacochoerus aethiopicus,,,3,214,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acanthodactylus Longipes,,3,215,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Cerastes Vipera,,3,216,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Bi,,3,217,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Bauhinia Rufescens,,1,218,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Faidherbia Abida,,1,219,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Acacia ehrenbergiana,,,1,220,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Mitragyna inermis+-,,1,221,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Capparis decidua+-,,1,222,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Combretum glutinosum-.,,1,223,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Aeschynomezne elaphroxylon,,,1,224,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Cassia tora,,,1,225,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Nymphaea lotus,,,1,226,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ipomea aquatica,,,1,227,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Cressa cretica.,,1,228,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Lemprotomis chalybaeus,,,2,229,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Oenanthe hispanic,,,2,230,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Testudo sulcata,,,3,231,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Ag,,3,232,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,seulement Clarias gariepinus et Clarias anguillaris.,,4,233,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Capparis decidua,,,1,234,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia raddiana-,,1,235,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia ehrenbergiana-.,,1,236,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
ciconai nigra,Cicognes noires (ciconai nigra ),,2,237,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Bubulcus Ibis,,2,238,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tarentola ephippiata,,,3,239,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,disponibles au niveau du lac de Mâl sont le Clarias gariepinus et le Clarias anguillaris.,,4,240,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia nilotica+,,1,241,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Leptadenia pyrotechnica,,,1,242,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Prosopis juliflora.,,1,243,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Glinus lotoïdes,,1,244,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Eremopteryx nigriceps,,,2,245,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Lanius meridionalis,,,2,246,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Emahariberiza Sahari,,2,247,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Phylloscopus bonell,,,2,248,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Procavia capensis,,,3,249,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Canis adustus,,,3,250,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
disparue,Hystrix cristata,,3,251,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acantho,,3,252,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Les poissons,sont de plus grandes tailles ici car l'eau est un peu saline. Il s'agit des espéces suivantes :,,4,253,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Mormyrus hasselquistii,,,4,254,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Mormyrus rume,,,4,255,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Mormyrops anguilloides,,,4,256,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Raiamas senegalensis,,,4,257,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Heterotis niloticus.,,4,258,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
au Sud,Acacia seyal,,1,259,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Balanites aegyptiaca+.,,1,260,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Nymphea,,1,261,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Coracias abyssinicus,,,2,262,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Jaculus Jerbou,,3,263,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Crocodulys suchus,,,3,264,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Acanthodactylus dumerilli,,,3,265,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Taren,,3,266,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,     il n'ya pas de poissons.,,4,267,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Balanites aegyptiaca+,,1,268,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Commiphora africana,,,1,269,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Euphorbia balsamifera,,,1,270,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia seyal.,,1,271,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Cressa cretica,,,1,272,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Panicum laetum.,,1,273,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acanth,,3,274,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,hydrocynus forskalii,,4,275,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,brycinus macrolepidotus,,4,276,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Clarias gariepin,,,4,277,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Faidherbia albida-,,1,278,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Cyperus,,1,279,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Aeschynomene indica,,,1,280,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,cocculms pendilis,,1,281,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Nymphea lotus.,,1,282,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hemichromis fasciatus,,,4,283,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Heterotis niloticus,,,4,284,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Propterus annectens,,,4,285,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ctenopama kingsleyae,,,4,286,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Pellonula leonensis,,,4,287,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Tetraodon lineatus.,,4,288,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Bauhinia rufescens-,,1,289,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia seyal+,,1,290,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Combretum aculeatum,,,1,291,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Cordia sinensis,,,1,292,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Combretum glutinosum,,,1,293,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Acacia senegal.,,1,294,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Riz sauvage,,,1,295,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Typha.,,1,296,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Jacu,,3,297,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,brycinus leuciscus,,4,298,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Synodontis batensoda,,,4,299,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hyperopisus bebe,,,4,300,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Petrocephalus bovei,,,4,301,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Ctenopama kingsleyae.,,4,302,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Ziziphus mauritiana+.,,1,303,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Nynphea lotus,,,1,304,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,tribulus terrestris,,1,305,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Panicun laetum.,,1,306,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Marcusenius sanagaensis,,,4,307,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Distichodus engycep,,,4,308,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Faidherbia albida,,,1,309,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Corchorus tridens,,,1,310,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Sporobolus spicatus,,,1,311,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Nymphea lotus,,,1,312,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Abutilon pannosum,,,1,313,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Cucumis melo.,,1,314,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hystrix cristata,(Disp,,3,315,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Propterus annectens.,,4,316,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Maerua crassifolia,,,1,317,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Cenchrus biflorus,,,1,318,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,typha,,1,319,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Tephrosia purpurea.,,1,320,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Poisson une,seule espéce,,4,321,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,seulement clarias angillaris.,,4,322,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Anogeissus leiocarpa,,,1,323,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Mitragyna inermis.,,1,324,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
